epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8792,1.34058,2.58573,1.32787,0.71613,0.59885,0.68902,0.44065,1.21987,1.45511,1.02325,0.00042,0.00042,0.00042
2,25.0314,1.2696,1.80646,1.24014,0.65793,0.56447,0.61163,0.36472,1.34796,2.7106,1.1193,0.000851486,0.000851486,0.000851486
3,35.7422,1.329,1.98699,1.34804,0.36349,0.42479,0.25575,0.14532,1.36695,2.88608,1.20783,0.00127426,0.00127426,0.00127426
4,47.3278,1.30817,1.8594,1.31245,0.57212,0.45975,0.52015,0.30943,1.40336,2.02832,1.25844,0.00168832,0.00168832,0.00168832
5,59.6699,1.41691,1.91039,1.40266,0.04359,0.34599,0.0278,0.01453,1.92438,inf,2.17007,0.0019208,0.0019208,0.0019208
6,71.2221,1.3768,1.92921,1.3419,0.19374,0.32092,0.13604,0.06934,1.64771,4.19441,1.36498,0.001901,0.001901,0.001901
7,80.9267,1.34869,1.87487,1.34242,0.48358,0.45702,0.46653,0.26399,1.60846,1.79806,1.34961,0.0018812,0.0018812,0.0018812
8,92.3482,1.35141,1.80262,1.29146,0.69739,0.5679,0.64228,0.396,1.33289,1.37405,1.19038,0.0018614,0.0018614,0.0018614
9,103.739,1.28102,1.71706,1.29748,0.68374,0.44054,0.52316,0.32592,1.3628,1.51064,1.2138,0.0018416,0.0018416,0.0018416
10,114.916,1.24089,1.70529,1.27067,0.73009,0.5308,0.62545,0.38995,1.30063,1.27668,1.15716,0.0018218,0.0018218,0.0018218
11,124.639,1.26946,1.65183,1.26881,0.70043,0.54602,0.61166,0.38171,1.35837,1.28203,1.16643,0.001802,0.001802,0.001802
12,135.938,1.21794,1.68496,1.29172,0.64396,0.46705,0.54698,0.34398,1.32224,1.3872,1.17763,0.0017822,0.0017822,0.0017822
13,147.159,1.27373,1.66157,1.29821,0.72633,0.43346,0.52015,0.34629,1.2496,1.39364,1.14977,0.0017624,0.0017624,0.0017624
14,158.629,1.20914,1.56723,1.2397,0.82036,0.53868,0.74655,0.46929,1.30087,1.05608,1.15185,0.0017426,0.0017426,0.0017426
15,168.352,1.21391,1.63557,1.28031,0.73094,0.56017,0.63074,0.3986,1.24743,1.4621,1.14267,0.0017228,0.0017228,0.0017228
16,179.117,1.20143,1.55546,1.25786,0.7289,0.53157,0.6457,0.41256,1.23536,1.17155,1.13315,0.001703,0.001703,0.001703
17,189.976,1.18621,1.51444,1.22374,0.73312,0.52149,0.64979,0.40414,1.3039,1.18205,1.16939,0.0016832,0.0016832,0.0016832
18,201.023,1.2157,1.55248,1.25335,0.76112,0.59113,0.68238,0.4502,1.18396,1.23256,1.09597,0.0016634,0.0016634,0.0016634
19,210.433,1.19692,1.54195,1.24962,0.7833,0.55413,0.68241,0.4391,1.25028,1.16751,1.1313,0.0016436,0.0016436,0.0016436
20,221.546,1.1468,1.50228,1.2311,0.80674,0.54585,0.72839,0.48666,1.17259,1.06169,1.09084,0.0016238,0.0016238,0.0016238
21,232.631,1.10473,1.52413,1.20014,0.78684,0.54799,0.74954,0.50416,1.1718,1.01688,1.09276,0.001604,0.001604,0.001604
22,243.503,1.11242,1.46858,1.19341,0.78341,0.59097,0.75339,0.49376,1.2332,1.00001,1.11821,0.0015842,0.0015842,0.0015842
23,253.175,1.13578,1.6097,1.22819,0.79441,0.54728,0.71152,0.47697,1.17106,1.02727,1.10562,0.0015644,0.0015644,0.0015644
24,264.132,1.09349,1.48783,1.19364,0.83096,0.57399,0.71444,0.45573,1.24375,1.07141,1.11886,0.0015446,0.0015446,0.0015446
25,275.109,1.1249,1.47457,1.17716,0.7829,0.59154,0.74346,0.49478,1.16709,0.99527,1.08873,0.0015248,0.0015248,0.0015248
26,285.591,1.08998,1.41146,1.18466,0.80299,0.59599,0.69414,0.45497,1.1849,1.09847,1.10102,0.001505,0.001505,0.001505
27,295.763,1.08687,1.43859,1.20611,0.80027,0.56541,0.70425,0.45944,1.18359,1.05527,1.10103,0.0014852,0.0014852,0.0014852
28,307.063,1.08145,1.42903,1.15904,0.82336,0.55874,0.75046,0.50519,1.14542,1.03152,1.09725,0.0014654,0.0014654,0.0014654
29,317.867,1.08713,1.39347,1.19798,0.82205,0.5758,0.70029,0.45864,1.21738,1.13416,1.12123,0.0014456,0.0014456,0.0014456
30,328.072,1.07458,1.37209,1.17185,0.81106,0.58453,0.70566,0.47872,1.16093,1.08817,1.10097,0.0014258,0.0014258,0.0014258
31,338.191,1.07951,1.34193,1.18367,0.81728,0.59169,0.69425,0.4737,1.14935,1.18181,1.10208,0.001406,0.001406,0.001406
32,349.364,1.08028,1.37755,1.20275,0.8199,0.56089,0.75745,0.51436,1.14059,0.98251,1.08948,0.0013862,0.0013862,0.0013862
33,360.526,1.01635,1.30807,1.12743,0.77058,0.59814,0.74043,0.50333,1.14023,0.98163,1.08657,0.0013664,0.0013664,0.0013664
34,370.113,1.03203,1.3992,1.16204,0.75805,0.59169,0.74821,0.49551,1.1667,0.97825,1.08644,0.0013466,0.0013466,0.0013466
35,380.786,1.02365,1.31659,1.1542,0.81436,0.60315,0.71415,0.47543,1.18354,1.01386,1.10576,0.0013268,0.0013268,0.0013268
36,391.881,1.07262,1.36034,1.19828,0.76856,0.59527,0.73227,0.49181,1.16433,1.07936,1.10289,0.001307,0.001307,0.001307
37,402.817,1.04289,1.33297,1.17661,0.8328,0.57086,0.74773,0.51178,1.1412,1.02794,1.07786,0.0012872,0.0012872,0.0012872
38,412.625,1.03313,1.3269,1.14961,0.81055,0.57593,0.74073,0.50789,1.15511,1.00705,1.09154,0.0012674,0.0012674,0.0012674
39,423.694,1.03017,1.23705,1.15282,0.82991,0.59097,0.67419,0.47513,1.15612,1.28806,1.10499,0.0012476,0.0012476,0.0012476
40,434.717,1.04082,1.4326,1.17825,0.81785,0.59824,0.78245,0.52865,1.17993,0.95836,1.10136,0.0012278,0.0012278,0.0012278
41,445.503,1.01631,1.28983,1.15221,0.83065,0.58326,0.74243,0.51631,1.10666,1.03316,1.08117,0.001208,0.001208,0.001208
42,455.354,1.02149,1.36104,1.20055,0.86553,0.5745,0.73016,0.50592,1.12016,1.03513,1.09341,0.0011882,0.0011882,0.0011882
43,466.65,1.00088,1.20439,1.13903,0.79128,0.58166,0.71352,0.48277,1.15774,1.08747,1.09719,0.0011684,0.0011684,0.0011684
44,477.853,1.03531,1.33908,1.16178,0.80421,0.60318,0.78346,0.54401,1.11815,0.9738,1.07207,0.0011486,0.0011486,0.0011486
45,488.414,1.01992,1.37646,1.15085,0.78501,0.56759,0.70031,0.47376,1.15439,1.12415,1.09885,0.0011288,0.0011288,0.0011288
46,498.836,0.9626,1.19156,1.09713,0.8467,0.60172,0.78642,0.54469,1.12898,0.96466,1.09343,0.001109,0.001109,0.001109
47,509.948,0.99006,1.28495,1.14085,0.832,0.61374,0.71684,0.49758,1.14079,1.1387,1.10035,0.0010892,0.0010892,0.0010892
