epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.6513,2.11272,2.93236,1.67994,0.02009,0.47063,0.0356,0.01756,2.4931,3.3421,2.04444,0.00016,0.00016,0.00016
2,12.4415,1.55515,2.33138,1.46976,0.82935,0.21236,0.40818,0.22172,2.02007,2.54967,1.68107,0.000336634,0.000336634,0.000336634
3,17.9234,1.32344,1.57965,1.24816,0.73669,0.46203,0.5413,0.31409,1.77572,1.97117,1.4833,0.000509704,0.000509704,0.000509704
4,24.021,1.25864,1.21613,1.19522,0.76443,0.61136,0.65633,0.39433,1.61324,1.60938,1.3919,0.00067921,0.00067921,0.00067921
5,28.8365,1.2012,1.08946,1.14115,0.74061,0.67335,0.71449,0.44203,1.47812,1.33542,1.26775,0.000845152,0.000845152,0.000845152
6,33.3286,1.16271,1.09714,1.1442,0.83904,0.79534,0.87756,0.5903,1.23731,0.91963,1.1232,0.00100753,0.00100753,0.00100753
7,39.3413,1.11442,1.08941,1.11842,0.86844,0.78022,0.87943,0.57183,1.26488,0.95098,1.11729,0.00116634,0.00116634,0.00116634
8,43.8043,1.10367,1.02952,1.09341,0.84658,0.74312,0.84314,0.5724,1.17537,0.92061,1.09608,0.00132159,0.00132159,0.00132159
9,48.192,1.04165,1.01687,1.08154,0.86657,0.63395,0.75896,0.5086,1.26278,1.02908,1.16284,0.00147328,0.00147328,0.00147328
10,54.1429,1.01886,0.95489,1.06915,0.81287,0.62751,0.70716,0.46995,1.30032,1.06141,1.17903,0.0016214,0.0016214,0.0016214
11,59.2929,1.0096,1.04373,1.07017,0.7782,0.63085,0.75242,0.50817,1.18371,0.98538,1.11429,0.00176596,0.00176596,0.00176596
12,64.0687,0.99049,0.9058,1.04307,0.77848,0.66404,0.73371,0.48673,1.26343,1.02659,1.16496,0.0017822,0.0017822,0.0017822
13,69.4754,1.01029,0.87631,1.04872,0.84267,0.7414,0.82715,0.56789,1.15898,0.85564,1.10382,0.0017624,0.0017624,0.0017624
