epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.26496,1.35868,2.10067,1.10043,0.7113,0.79936,0.7748,0.50955,1.08017,1.85433,0.94887,6e-05,6e-05,6e-05
2,9.08023,1.35201,1.71736,1.09834,0.58126,0.80256,0.60861,0.39103,1.08411,1.47465,0.96805,0.000138614,0.000138614,0.000138614
3,11.683,1.17704,1.16676,1.04221,0.79736,0.85912,0.87734,0.59709,1.12454,1.35182,1.0177,0.000215644,0.000215644,0.000215644
4,14.1709,1.19731,0.90573,1.015,0.7331,0.76734,0.81015,0.5287,1.23836,1.22052,1.08011,0.00029109,0.00029109,0.00029109
5,16.5041,1.13264,1.01903,1.00438,0.80953,0.78015,0.87472,0.57711,1.17135,1.16445,1.04055,0.000364952,0.000364952,0.000364952
6,21.1973,1.13259,1.0287,0.99713,0.74194,0.84075,0.86869,0.58181,1.10633,1.18582,1.03225,0.00043723,0.00043723,0.00043723
7,25.3889,1.08021,0.83094,0.97904,0.76753,0.85623,0.88592,0.58371,1.17132,1.42639,1.05115,0.000507924,0.000507924,0.000507924
8,27.7939,1.15042,0.80313,1.0013,0.74766,0.85692,0.85244,0.56666,1.15014,1.05434,1.04812,0.000577034,0.000577034,0.000577034
9,30.1976,1.1083,0.90214,0.98305,0.68677,0.87514,0.7921,0.52934,1.13271,1.91909,1.03024,0.00064456,0.00064456,0.00064456
10,32.6879,1.02905,0.69809,0.96481,0.55304,0.81857,0.56339,0.38328,1.10523,2.17388,1.02787,0.000710502,0.000710502,0.000710502
11,36.3923,1.02178,0.65632,0.97609,0.83149,0.88469,0.92533,0.64879,1.07434,1.56813,1.01988,0.00077486,0.00077486,0.00077486
12,39.0293,1.004,0.67856,0.97746,0.74535,0.8047,0.81501,0.54349,1.16641,1.38255,1.06696,0.000837634,0.000837634,0.000837634
13,41.2783,1.06604,0.6944,1.00054,0.82988,0.86766,0.92487,0.64062,1.0763,1.26059,1.02024,0.000898824,0.000898824,0.000898824
14,44.0671,1.04418,0.7199,0.96996,0.77134,0.85684,0.89171,0.61315,1.09439,0.94274,1.01916,0.00095843,0.00095843,0.00095843
15,46.7592,1.03749,0.69294,0.95914,0.49032,0.78122,0.48324,0.31384,1.17787,1.37825,1.05585,0.00101645,0.00101645,0.00101645
16,50.056,1.10759,0.69055,0.98262,0.7862,0.84205,0.8761,0.58075,1.17685,1.07659,1.06055,0.00107289,0.00107289,0.00107289
17,52.8432,1.0727,0.70286,1.00899,0.78047,0.81644,0.86608,0.57793,1.17643,0.95479,1.06051,0.00112774,0.00112774,0.00112774
18,55.2511,1.06874,0.70967,0.98444,0.80364,0.81244,0.88387,0.58869,1.16452,1.12601,1.06854,0.00118101,0.00118101,0.00118101
19,57.5766,1.05282,0.62854,0.98201,0.46696,0.82391,0.45995,0.30846,1.11537,2.04365,1.04748,0.0012327,0.0012327,0.0012327
20,59.9727,1.06412,0.64047,0.98345,0.83902,0.83437,0.90244,0.59438,1.20506,0.98966,1.06516,0.0012828,0.0012828,0.0012828
21,63.0061,1.06421,0.66511,0.98482,0.71065,0.7524,0.75815,0.50002,1.18017,1.03504,1.06175,0.00133132,0.00133132,0.00133132
22,66.2835,1.02795,0.62666,0.97112,0.70332,0.69264,0.73506,0.48972,1.18428,1.11163,1.07114,0.00137825,0.00137825,0.00137825
23,68.5951,0.97199,0.60348,0.97156,0.69171,0.71117,0.74013,0.47483,1.28358,1.14712,1.11517,0.0014236,0.0014236,0.0014236
24,70.9378,0.98743,0.61325,0.94538,0.78155,0.71291,0.80441,0.51228,1.28565,0.95627,1.13522,0.00146737,0.00146737,0.00146737
25,73.3745,0.95855,0.65201,0.9698,0.78038,0.78122,0.85015,0.5648,1.20362,0.92783,1.10828,0.00150955,0.00150955,0.00150955
26,76.0724,1.01588,0.58465,0.95755,0.7582,0.78977,0.8457,0.55123,1.23412,1.10489,1.1283,0.001505,0.001505,0.001505
27,79.6692,1.06254,0.64975,0.98547,0.79727,0.80586,0.86848,0.56469,1.22365,1.03247,1.1152,0.0014852,0.0014852,0.0014852
28,82.0037,0.99442,0.61,0.96616,0.83246,0.83991,0.90353,0.59199,1.18653,0.80467,1.1077,0.0014654,0.0014654,0.0014654
29,84.3837,1.02102,0.68019,0.95852,0.82245,0.83778,0.89119,0.57336,1.22374,0.83661,1.12201,0.0014456,0.0014456,0.0014456
30,86.8019,1.11222,0.62818,0.98329,0.80775,0.83778,0.87803,0.5832,1.17879,0.92187,1.10476,0.0014258,0.0014258,0.0014258
31,89.4516,1.009,0.65861,0.97817,0.84208,0.85932,0.88853,0.5985,1.13319,0.86684,1.07949,0.001406,0.001406,0.001406
32,92.8139,0.97425,0.58132,0.9619,0.81838,0.83244,0.87249,0.60292,1.11319,0.82871,1.07281,0.0013862,0.0013862,0.0013862
33,95.3987,1.00596,0.61141,0.962,0.80421,0.85918,0.89441,0.61308,1.1323,0.78337,1.07716,0.0013664,0.0013664,0.0013664
34,97.7482,0.9759,0.59016,0.96996,0.84252,0.8207,0.90564,0.62315,1.13511,0.79087,1.07107,0.0013466,0.0013466,0.0013466
35,100.062,0.95653,0.56336,0.95046,0.85744,0.84205,0.91368,0.62515,1.13827,0.80569,1.06761,0.0013268,0.0013268,0.0013268
36,102.431,0.99672,0.59254,0.97107,0.84712,0.85059,0.91326,0.62911,1.14049,0.77904,1.06758,0.001307,0.001307,0.001307
37,105.286,0.96304,0.55708,0.94428,0.88547,0.83244,0.91451,0.62013,1.18724,0.76674,1.09216,0.0012872,0.0012872,0.0012872
38,108.717,0.93098,0.55151,0.95536,0.88701,0.85272,0.92546,0.62132,1.17063,0.78097,1.07833,0.0012674,0.0012674,0.0012674
39,111.101,0.94503,0.52884,0.92089,0.87061,0.88794,0.93232,0.64848,1.10208,0.8147,1.05832,0.0012476,0.0012476,0.0012476
40,113.595,0.91657,0.54636,0.92776,0.86317,0.88197,0.93551,0.64646,1.11397,0.75431,1.06295,0.0012278,0.0012278,0.0012278
41,115.977,0.95173,0.52055,0.92683,0.84899,0.8698,0.91627,0.6223,1.13086,0.74871,1.06845,0.001208,0.001208,0.001208
42,119.023,0.86027,0.50502,0.90567,0.83394,0.87894,0.91904,0.60926,1.20264,0.75038,1.09432,0.0011882,0.0011882,0.0011882
43,122.129,0.96232,0.55572,0.97216,0.86311,0.873,0.93216,0.63514,1.17957,0.71427,1.08164,0.0011684,0.0011684,0.0011684
44,124.433,0.93612,0.50209,0.94596,0.87039,0.88867,0.93449,0.66024,1.08666,0.69378,1.04134,0.0011486,0.0011486,0.0011486
45,126.905,0.89669,0.51635,0.92902,0.87113,0.88474,0.93161,0.66288,1.07071,0.65585,1.03469,0.0011288,0.0011288,0.0011288
46,130.437,0.92117,0.5031,0.9338,0.8676,0.88119,0.93155,0.66045,1.08506,0.6559,1.03643,0.001109,0.001109,0.001109
47,133.055,0.86065,0.5077,0.93011,0.86411,0.87547,0.92752,0.64573,1.14466,0.67606,1.06018,0.0010892,0.0010892,0.0010892
48,136.469,0.90933,0.49761,0.9289,0.86096,0.88687,0.93056,0.64323,1.16889,0.67684,1.08124,0.0010694,0.0010694,0.0010694
49,138.778,0.88688,0.49839,0.92434,0.86819,0.88687,0.93153,0.66264,1.08542,0.65271,1.04815,0.0010496,0.0010496,0.0010496
50,141.294,0.89336,0.49733,0.96143,0.8654,0.90181,0.93269,0.66597,1.06687,0.63412,1.03121,0.0010298,0.0010298,0.0010298
51,143.812,0.90491,0.49425,0.92973,0.8741,0.89968,0.93501,0.66456,1.08436,0.63337,1.0377,0.00101,0.00101,0.00101
52,146.253,0.88998,0.47055,0.93041,0.85718,0.92316,0.94348,0.66919,1.08573,0.63037,1.03896,0.0009902,0.0009902,0.0009902
53,149.643,0.80788,0.45916,0.89787,0.87468,0.91142,0.9468,0.65901,1.1183,0.63977,1.05755,0.0009704,0.0009704,0.0009704
54,152.417,0.85738,0.4733,0.93332,0.8875,0.88901,0.94484,0.65825,1.12734,0.63962,1.05911,0.0009506,0.0009506,0.0009506
55,154.919,0.85734,0.47196,0.92596,0.87145,0.89541,0.93772,0.65703,1.09517,0.63231,1.03821,0.0009308,0.0009308,0.0009308
56,157.304,0.85291,0.49315,0.90397,0.87109,0.87982,0.93116,0.65331,1.09741,0.63758,1.0372,0.000911,0.000911,0.000911
