epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.1429,2.00213,2.71416,1.40912,0.35559,0.24333,0.17975,0.06766,2.84064,2.55125,1.99871,6e-05,6e-05,6e-05
2,7.86875,1.87633,2.62516,1.42575,0.54635,0.36073,0.373,0.1688,2.29621,2.19672,1.60013,0.000138614,0.000138614,0.000138614
3,12.2265,1.41876,2.11354,1.21446,0.60875,0.34871,0.38473,0.19044,2.08046,2.16931,1.54494,0.000215644,0.000215644,0.000215644
4,14.8488,1.26204,1.74919,1.12918,0.68743,0.36616,0.41773,0.20711,2.04815,2.18636,1.58609,0.00029109,0.00029109,0.00029109
5,18.1182,1.24369,1.41755,1.07741,0.78696,0.45144,0.52495,0.27312,1.90793,2.01129,1.53804,0.000364952,0.000364952,0.000364952
6,21.6511,1.11802,1.13344,1.02478,0.81595,0.51868,0.59542,0.31811,1.81404,1.84559,1.49539,0.00043723,0.00043723,0.00043723
7,24.5453,1.08163,0.95722,0.99799,0.82835,0.54594,0.63012,0.34412,1.7232,1.74444,1.45659,0.000507924,0.000507924,0.000507924
8,27.1956,1.09108,0.84268,1.01489,0.82861,0.57311,0.65832,0.36872,1.68119,1.62754,1.4178,0.000577034,0.000577034,0.000577034
9,32.5384,1.04541,0.77525,1.00657,0.84236,0.5603,0.63127,0.36022,1.72021,1.59523,1.42326,0.00064456,0.00064456,0.00064456
10,36.0574,1.03967,0.77059,0.98979,0.815,0.5454,0.58621,0.33449,1.76778,1.56253,1.4218,0.000710502,0.000710502,0.000710502
11,38.726,0.98753,0.74457,0.98427,0.79706,0.53895,0.61065,0.36018,1.65746,1.42826,1.3416,0.00077486,0.00077486,0.00077486
12,41.3046,0.93319,0.70844,0.95485,0.78906,0.55923,0.63552,0.38248,1.59862,1.43002,1.32804,0.000837634,0.000837634,0.000837634
13,44.0773,0.93833,0.68095,0.93857,0.86309,0.61473,0.71036,0.4483,1.42755,1.37492,1.26972,0.000898824,0.000898824,0.000898824
14,50.4768,0.96293,0.70187,0.95628,0.8976,0.69157,0.79987,0.51149,1.34892,1.1951,1.20965,0.00095843,0.00095843,0.00095843
15,54.0693,0.94771,0.67155,0.94003,0.91096,0.74251,0.83788,0.53274,1.33471,1.17658,1.19645,0.00101645,0.00101645,0.00101645
16,56.6784,0.94701,0.66197,0.92721,0.89062,0.77343,0.86782,0.54955,1.32407,1.06569,1.17861,0.00107289,0.00107289,0.00107289
17,64.3081,0.88457,0.69429,0.9312,0.87869,0.79626,0.88229,0.56921,1.29095,0.98083,1.1564,0.00112774,0.00112774,0.00112774
18,67.0112,0.88608,0.62203,0.91861,0.84731,0.84418,0.90432,0.597,1.24064,0.8286,1.11649,0.00118101,0.00118101,0.00118101
19,72.5179,0.9068,0.66585,0.94001,0.85968,0.86446,0.91429,0.59908,1.24349,0.80928,1.11177,0.0012327,0.0012327,0.0012327
20,75.6887,0.8639,0.59904,0.91774,0.86954,0.86873,0.9202,0.61465,1.20405,0.77543,1.08678,0.0012828,0.0012828,0.0012828
21,78.9867,0.90255,0.61995,0.92543,0.88297,0.87513,0.93479,0.62478,1.19219,0.7275,1.07225,0.00133132,0.00133132,0.00133132
22,86.6479,0.82762,0.57663,0.91606,0.89634,0.87667,0.94033,0.64651,1.13074,0.7011,1.04958,0.00137825,0.00137825,0.00137825
